1100,12248
1101,-1
1102,-1
1103,12249
1104,12250
1105,12251
1106,-1
1107,-1
1108,12252
1109,12253
1110,12254
1111,-1
1112,-1
1113,12255
1114,12256
1115,12257
1116,-1
1117,-1
1118,12258
1119,12259
1120,12600
1121,12601
1122,12602
1123,-1
1124,-1
1125,12603
1126,12604
1127,12605
1128,-1
1129,-1
1130,12606
1131,12607
1132,12608
1133,-1
1134,-1
1135,12609
1136,12610
1137,12611
1138,-1
1139,-1
1140,12612
1141,12613
1142,12614
1143,-1
1144,-1
1145,12615
1146,12616
1147,12617
1148,-1
1149,-1
1150,12618
1151,12619
1152,317
1153,-1
1154,-1
1155,318
1156,319
1157,320
1158,-1
1159,-1
1160,321
1161,322
1162,323
1163,-1
1164,-1
1165,324
1166,325
1167,326
1168,-1
1169,-1
1170,327
1171,328
1172,329
1173,-1
1174,-1
1175,330
1176,331
1177,332
1178,-1
1179,-1
1180,333
1181,334
1182,335
1183,-1
1184,650
1185,-1
1186,-1
1187,651
1188,652
1189,653
1190,-1
1191,-1
1192,654
1193,655
1194,656
1195,-1
1196,-1
1197,657
1198,658
1199,659
1200,-1
1201,-1
1202,660
1203,661
1204,662
1205,-1
1206,-1
1207,663
1208,664
1209,665
1210,-1
1211,-1
1212,666
1213,667
1214,668
1215,-1
1216,1034
1217,-1
1218,-1
1219,1035
1220,1036
1221,1037
1222,-1
1223,-1
1224,1038
1225,1039
1226,1040
1227,-1
1228,-1
1229,1041
1230,1042
1231,1043
1232,-1
1233,-1
1234,1044
1235,1045
1236,1046
1237,-1
1238,-1
1239,1047
1240,1048
1241,1049
1242,-1
1243,-1
1244,1050
1245,1051
1246,1052
1247,-1
1248,1364
1249,-1
1250,-1
1251,1365
1252,1366
1253,1367
1254,-1
1255,-1
1256,1368
1257,1369
1258,1370
1259,-1
1260,-1
1261,1371
1262,1372
1263,1373
1264,-1
1265,-1
1266,1374
1267,1375
1268,1376
1269,-1
1270,-1
1271,1377
1272,1378
1273,1379
1274,-1
1275,-1
1276,1380
1277,1381
1278,1382
1279,-1
1280,1754
1281,-1
1282,-1
1283,1755
1284,1756
1285,1757
1286,-1
1287,-1
1288,1758
1289,1759
1290,1760
1291,-1
1292,-1
1293,1761
1294,1762
1295,1763
1296,-1
1297,-1
1298,1764
1299,1765
1300,1766
1301,-1
1302,-1
1303,1767
1304,1768
1305,1769
1306,-1
1307,-1
1308,1770
1309,1771
1310,1772
1311,-1
1312,2075
1313,-1
1314,-1
1315,2076
1316,2077
1317,2078
1318,-1
1319,-1
1320,2079
1321,2080
1322,2081
1323,-1
1324,-1
1325,2082
1326,2083
1327,2084
1328,-1
1329,-1
1330,2085
1331,2086
1332,2087
1333,-1
1334,-1
1335,2088
1336,2089
1337,2090
1338,-1
1339,-1
1340,2091
1341,2092
1342,2093
1343,-1
1344,2474
1345,-1
1346,-1
1347,2475
1348,2476
1349,2477
1350,-1
1351,-1
1352,2478
1353,2479
1354,2480
1355,-1
1356,-1
1357,2481
1358,2482
1359,2483
1360,-1
1361,-1
1362,2484
1363,2485
1364,2486
1365,-1
1366,-1
1367,2487
1368,2488
1369,2489
1370,-1
1371,-1
1372,2490
1373,2491
1374,2492
1375,-1
1376,2795
1377,-1
1378,-1
1379,2796
1380,2797
1381,2798
1382,-1
1383,-1
1384,2799
1385,2800
1386,2801
1387,-1
1388,-1
1389,2802
1390,2803
1391,2804
1392,-1
1393,-1
1394,2805
1395,2806
1396,2807
1397,-1
1398,-1
1399,2808
1400,2809
1401,2810
1402,-1
1403,-1
1404,2811
1405,2812
1406,2813
1407,-1
1408,3128
1409,-1
1410,-1
1411,3129
1412,3130
1413,3131
1414,-1
1415,-1
1416,3132
1417,3133
1418,3134
1419,-1
1420,-1
1421,3135
1422,3136
1423,3137
1424,-1
1425,-1
1426,3138
1427,3139
1428,3140
1429,-1
1430,-1
1431,3141
1432,3142
1433,3143
1434,-1
1435,-1
1436,3144
1437,3145
1438,3146
1439,-1
1440,3437
1441,-1
1442,-1
1443,3438
1444,3439
1445,3440
1446,-1
1447,-1
1448,3441
1449,3442
1450,3443
1451,-1
1452,-1
1453,3444
1454,3445
1455,3446
1456,-1
1457,-1
1458,3447
1459,3448
1460,3449
1461,-1
1462,-1
1463,3450
1464,3451
1465,3452
1466,-1
1467,-1
1468,3453
1469,3454
1470,3455
1471,-1
1472,3851
1473,-1
1474,-1
1475,3852
1476,3853
1477,3854
1478,-1
1479,-1
1480,3855
1481,3856
1482,3857
1483,-1
1484,-1
1485,3858
1486,3859
1487,3860
1488,-1
1489,-1
1490,3861
1491,3862
1492,3863
1493,-1
1494,-1
1495,3864
1496,3865
1497,3866
1498,-1
1499,-1
1500,3867
1501,3868
1502,3869
1503,-1
1504,4154
1505,-1
1506,-1
1507,4155
1508,4156
1509,4157
1510,-1
1511,-1
1512,4158
1513,4159
1514,4160
1515,-1
1516,-1
1517,4161
1518,4162
1519,4163
1520,-1
1521,-1
1522,4164
1523,4165
1524,4166
1525,-1
1526,-1
1527,4167
1528,4168
1529,4169
1530,-1
1531,-1
1532,4170
1533,4171
1534,4172
1535,-1
1536,4571
1537,-1
1538,-1
1539,4572
1540,4573
1541,4574
1542,-1
1543,-1
1544,4575
1545,4576
1546,4577
1547,-1
1548,-1
1549,4578
1550,4579
1551,4580
1552,-1
1553,-1
1554,4581
1555,4582
1556,4583
1557,-1
1558,-1
1559,4584
1560,4585
1561,4586
1562,-1
1563,-1
1564,4587
1565,4588
1566,4589
1567,-1
1568,4871
1569,-1
1570,-1
1571,4872
1572,4873
1573,4874
1574,-1
1575,-1
1576,4875
1577,4876
1578,4877
1579,-1
1580,-1
1581,4878
1582,4879
1583,4880
1584,-1
1585,-1
1586,4881
1587,4882
1588,4883
1589,-1
1590,-1
1591,4884
1592,4885
1593,4886
1594,-1
1595,-1
1596,4887
1597,4888
1598,4889
1599,-1
1600,5291
1601,-1
1602,-1
1603,5292
1604,5293
1605,5294
1606,-1
1607,-1
1608,5295
1609,5296
1610,5297
1611,-1
1612,-1
1613,5298
1614,5299
1615,5300
1616,-1
1617,-1
1618,5301
1619,5302
1620,5303
1621,-1
1622,-1
1623,5304
1624,5305
1625,5306
1626,-1
1627,-1
1628,5307
1629,5308
1630,5309
1631,-1
1632,5585
1633,-1
1634,-1
1635,5586
1636,5587
1637,5588
1638,-1
1639,-1
1640,5589
1641,5590
1642,5591
1643,-1
1644,-1
1645,5592
1646,5593
1647,5594
1648,-1
1649,-1
1650,5595
1651,5596
1652,5597
1653,-1
1654,-1
1655,5598
1656,5599
1657,5600
1658,-1
1659,-1
1660,5601
1661,5602
1662,5603
1663,-1
1664,5864
1665,-1
1666,-1
1667,5865
1668,5866
1669,5867
1670,-1
1671,-1
1672,5868
1673,5869
1674,5870
1675,-1
1676,-1
1677,5871
1678,5872
1679,5873
1680,-1
1681,-1
1682,5874
1683,5875
1684,5876
1685,-1
1686,-1
1687,5877
1688,5878
1689,5879
1690,-1
1691,-1
1692,5880
1693,5881
1694,5882
1695,-1
1696,6155
1697,-1
1698,-1
1699,6156
1700,6157
1701,6158
1702,-1
1703,-1
1704,6159
1705,6160
1706,6161
1707,-1
1708,-1
1709,6162
1710,6163
1711,6164
1712,-1
1713,-1
1714,6165
1715,6166
1716,6167
1717,-1
1718,-1
1719,6168
1720,6169
1721,6170
1722,-1
1723,-1
1724,6171
1725,6172
1726,6173
1727,-1
1728,6581
1729,-1
1730,-1
1731,6582
1732,6583
1733,6584
1734,-1
1735,-1
1736,6585
1737,6586
1738,6587
1739,-1
1740,-1
1741,6588
1742,6589
1743,6590
1744,-1
1745,-1
1746,6591
1747,6592
1748,6593
1749,-1
1750,-1
1751,6594
1752,6595
1753,6596
1754,-1
1755,-1
1756,6597
1757,6598
